id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city_zone
32629925,City Palace Apartment ซิตี้ อพาร์ทเม้นท์,245317645,พชร,Bang Phlat,13.7711,100.4921,Private room,900.0,1,1,0.03,1,365,0,Middle Zone
32848665,Special OfferTop Floor Apartment Near On nut,243070888,Mari,Khlong Toei,13.70501,100.59202,Entire home/apt,1500.0,7,1,0.23,5,147,1,Inner Zone
32850770,BRAND NEW Exquisite Langsuan Condo,29247632,Quincy,Parthum Wan,13.74134,100.54514,Entire home/apt,1950.0,30,21,0.46,1,232,15,Inner Zone
32851083,C Ekkamai condoHigh floor,236467545,Darlene,Vadhana,13.73943,100.59079,Entire home/apt,1200.0,60,22,0.48,2,357,0,Inner Zone
32631522,Low Price高樓套房1分鐘到地鐵近百貨商圈24小時入住 24小時便利店7分鐘到市區,102842852,Taco,Phra Khanong,13.70302,100.60097,Entire home/apt,1699.0,1,20,0.45,3,365,0,Middle Zone
32645893,Modern Clean 1Bd BTS Ekkamai in the Heart of BKK,240769132,Shane,Khlong Toei,13.7189,100.58362,Private room,3000.0,2,0,0.0,1,90,0,Inner Zone
32646721,1brPark 24500BTS E5Skytop PoolGymWiFiTM30,5984433,Sunnot,Khlong Toei,13.72751,100.56822,Entire home/apt,1558.0,1,22,0.6,19,68,15,Inner Zone
32647083,Double Room Ploen Bangkok Hostel Khaosan,245467952,Nutnalun,Phra Nakhon,13.76134,100.49723,Private room,1300.0,1,9,0.22,4,365,0,Inner Zone
32851567,คุณภาพชีวิตดี สงบร่มรื่น สภาพแวดล้อมดี มีความสุข,190215858,พิชยาภรณ์,Khlong Sam Wa,13.87507,100.73242,Entire home/apt,3000.0,7,0,0.0,4,365,0,Outer Zone
32851578,Box 42 sukhumvitsoi8Baan Sawasdee Sukhumvit soi8,163517448,Renu,Khlong Toei,13.73603,100.55583,Hotel room,1300.0,1,2,0.44,2,0,2,Inner Zone
32853111,Superb skyline viewPoolGymWIFIfree shuttle bus,199624792,Ho,Vadhana,13.73899,100.59094,Entire home/apt,1500.0,21,6,0.13,23,156,0,Inner Zone
32370825,Slowlife Timeflies be a part of my project,240531827,Pakpoom,Saphan Sung,13.78072,100.68244,Private room,550.0,1,0,0.0,1,180,0,Middle Zone
32386421,King bedprivate bathroom for 2 near MRT Klongtoei,40462226,Chanlakan,Sathon,13.7219,100.55274,Private room,630.0,2,20,0.44,7,82,2,Inner Zone
32386733,5 Beds Private Bathroom 200 m from subway MRT,40462226,Chanlakan,Parthum Wan,13.72354,100.55111,Private room,1300.0,2,6,0.13,7,86,0,Inner Zone
32387971,Fabulous Junior Suite w Breakfast,172962088,Jona,Phra Nakhon,13.76436,100.50314,Private room,3220.0,1,0,0.0,6,362,0,Inner Zone
32388974,City Studio ensuite 12min walk BTS Surasak,2129668,Wimonpak,Sathon,13.71007,100.51797,Entire home/apt,799.0,1,1,0.29,41,354,1,Inner Zone
32650518,IDEO BLUECOVE UDOMSUK SUKHUMVIT 1 Min to BTS,67901237,Patsina,Bang Na,13.67989,100.60781,Entire home/apt,850.0,90,32,0.7,6,321,2,Middle Zone
32653066,Plu Garden Villa,130829732,Pimol,Sathon,13.7203,100.53868,Private room,850.0,1,1,0.02,2,365,0,Inner Zone
32655377,Wynn Condo LadpraoChokchai 4,228792431,Phatcharaporn,Phra Nakhon,13.75529,100.50212,Private room,1000.0,1,1,0.02,1,84,0,Inner Zone
